valueset_pk,language_pk,parameter_pk,parameter_name,parameter_description,type_pk,variety_type,abbr,language_name,value_pk,domainelement_pk,attestation
1,1,1,She/her used for inanimate referents,She was burning good [about a house],1,L1t,O&SE,Orkney and Shetland English,1,2,B
2,2,1,She/her used for inanimate referents,She was burning good [about a house],1,L1t,ScE,Scottish English,2,2,B
3,3,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,IrE,Irish English,3,2,B
5,5,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,WelE,Welsh English,5,2,B
18,18,1,She/her used for inanimate referents,She was burning good [about a house],1,L1t,OzE,Ozark English,18,2,B
20,20,1,She/her used for inanimate referents,She was burning good [about a house],1,L1t,SEAmE,Southeast American enclave dialects,20,2,B
23,23,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,BahE,Bahamian English,23,2,B
60,60,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,AusVE,Australian Vernacular English,60,2,B
61,61,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,AborE,Aboriginal English,61,2,B
64,64,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,NZE,New Zealand English,64,2,B
68,68,1,She/her used for inanimate referents,She was burning good [about a house],3,L2,CollFijiE,Pure Fiji English (basilectal FijiE),68,2,B
72,72,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,FlkE,Falkland Islands English,72,2,B
74,74,1,She/her used for inanimate referents,She was burning good [about a house],2,L1c,TdCE,Tristan da Cunha English,74,2,B
75,1,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],1,L1t,O&SE,Orkney and Shetland English,75,8,B
79,5,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],2,L1c,WelE,Welsh English,79,8,B
81,7,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],1,L1t,SW,English dialects in the Southwest of England,81,8,B
87,13,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],1,L1t,NfldE,Newfoundland English,87,8,B
134,60,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],2,L1c,AusVE,Australian Vernacular English,134,8,B
135,61,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],2,L1c,AborE,Aboriginal English,135,8,B
142,68,2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],3,L2,CollFijiE,Pure Fiji English (basilectal FijiE),142,8,B
149,1,3,Alternative forms/phrases for referential (non-dummy) it,e.g. the thing: When you on [‘switch on’] the alarm system you press this button. When you off the thing [‘switch it off’] you press that one.,1,L1t,O&SE,Orkney and Shetland English,149,17,X
167,19,3,Alternative forms/phrases for referential (non-dummy) it,e.g. the thing: When you on [‘switch on’] the alarm system you press this button. When you off the thing [‘switch it off’] you press that one.,1,L1t,AppE,Appalachian English,167,17,X
223,1,4,Alternative forms/phrases for dummy it,Thass rainen ‘Itʼs raining’ (emphatic),1,L1t,O&SE,Orkney and Shetland English,223,20,B
245,23,4,Alternative forms/phrases for dummy it,Thass rainen ‘Itʼs raining’ (emphatic),2,L1c,BahE,Bahamian English,245,20,B
274,52,4,Alternative forms/phrases for dummy it,Thass rainen ‘Itʼs raining’ (emphatic),3,L2,IndE,Indian English,274,20,B
295,73,4,Alternative forms/phrases for dummy it,Thass rainen ‘Itʼs raining’ (emphatic),2,L1c,StHE,St. Helena English,295,20,B
297,1,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,O&SE,Orkney and Shetland English,297,28,D
298,2,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,ScE,Scottish English,298,28,D
299,3,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,IrE,Irish English,299,28,D
300,4,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,ManxE,Manx English,300,28,D
301,5,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,WelE,Welsh English,301,28,D
302,6,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,North,English dialects in the North of England,302,28,D
303,7,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,SW,English dialects in the Southwest of England,303,28,D
304,8,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,EA,East Anglian English,304,28,D
305,9,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,SE,English dialects in the Southeast of England,305,28,D
306,10,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,ChIsE,Channel Islands English,306,28,D
308,12,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,MaltE,Maltese English,308,28,D
