verb	intrans	trans	xtrans	ditrans	total	percent_intrans	percent_trans	percent_ditrans
expect	744348.0	197175.0	67.0	463.0	942053.0	0.7901338884330287	0.20930351052435478	0.0004914797787385635
expected	2342329.0	66846.0	23.0	764.0	2409962.0	0.9719360720210526	0.027737366813252656	0.000317017446748123
expecting	158713.0	84397.0	27.0	575.0	243712.0	0.6512317817752101	0.3462980895483193	0.0023593421743697478
expectorate	2075.0	273.0	0.0	0.0	2348.0	0.8837308347529813	0.11626916524701873	0.0
expectorated	4035.0	115.0	0.0	0.0	4150.0	0.9722891566265061	0.027710843373493974	0.0
expects	62918.0	9567.0	0.0	0.0	72485.0	0.86801407187694	0.13198592812305995	0.0
expedient	3327.0	10.0	0.0	0.0	3337.0	0.9970032963739887	0.0029967036260113876	0.0
expedite	2724.0	17700.0	0.0	0.0	20424.0	0.13337250293772032	0.8666274970622797	0.0
expedited	3797.0	204.0	0.0	0.0	4001.0	0.9490127468132967	0.05098725318670332	0.0
expediting	2515.0	4634.0	0.0	11.0	7160.0	0.3512569832402235	0.6472067039106145	0.001536312849162011
expel	11064.0	60975.0	0.0	164.0	72203.0	0.1532346301400219	0.8444939960943451	0.002271373765633007
expelled	97042.0	16219.0	0.0	184.0	113445.0	0.8554101106262947	0.14296795804134163	0.0016219313323637004
expelling	5587.0	21191.0	0.0	25.0	26803.0	0.208446815654964	0.790620452934373	0.0009327314106629855
expels	592.0	2762.0	0.0	11.0	3365.0	0.1759286775631501	0.8208023774145616	0.0032689450222882616
expend	8444.0	15345.0	0.0	0.0	23789.0	0.35495397032241793	0.6450460296775821	0.0
expended	122169.0	6008.0	0.0	0.0	128177.0	0.9531273161331596	0.04687268386684038	0.0
expending	2467.0	8609.0	0.0	12.0	11088.0	0.222492784992785	0.776424963924964	0.0010822510822510823
expends	1290.0	1265.0	0.0	0.0	2555.0	0.5048923679060665	0.49510763209393344	0.0
experience	110070.0	93266.0	29.0	123.0	203488.0	0.5409164176757352	0.45833660952980027	0.0006044582481522252
experienced	515257.0	64770.0	15.0	149.0	580191.0	0.888081683445624	0.11163565101837154	0.0002568119808821578
experiences	20738.0	8763.0	46.0	0.0	29547.0	0.701864825532203	0.2965783328256676	0.0
experiencing	34823.0	59272.0	0.0	74.0	94169.0	0.36979260690885535	0.6294215718548567	0.0007858212362879504
experiment	8780.0	1311.0	12.0	21.0	10124.0	0.8672461477676807	0.12949427103911498	0.0020742789411299883
